weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Lunes,161.0,52.0,76.0,27.0,17.0,189.0,575.0,1598.0,2522.0,1509.0,983.0,846.0,1129.0,1299.0,1161.0,1235.0,886.0,1697.0,1920.0,1977.0,1763.0,1241.0,797.0,441.0
Martes,68.0,71.0,66.0,32.0,,44.0,268.0,863.0,1557.0,1032.0,760.0,1130.0,1138.0,967.0,547.0,980.0,1576.0,1825.0,1768.0,1554.0,1283.0,852.0,464.0,166.0
Miércoles,158.0,108.0,42.0,24.0,,111.0,424.0,1267.0,1921.0,1547.0,857.0,968.0,897.0,785.0,1337.0,1181.0,1408.0,2178.0,2156.0,1516.0,1012.0,616.0,413.0,546.0
Jueves,328.0,72.0,11.0,20.0,18.0,176.0,535.0,1282.0,2119.0,2072.0,1223.0,779.0,791.0,1237.0,1414.0,870.0,998.0,1356.0,2194.0,1267.0,1046.0,857.0,748.0,334.0
Viernes,201.0,137.0,33.0,40.0,47.0,102.0,401.0,877.0,1895.0,1122.0,1147.0,966.0,880.0,1201.0,1357.0,1836.0,2125.0,1955.0,2590.0,2132.0,1613.0,1033.0,818.0,234.0
Sábado,461.0,280.0,149.0,136.0,138.0,71.0,260.0,586.0,1112.0,1330.0,1463.0,1569.0,1900.0,1583.0,1389.0,1460.0,1080.0,1428.0,1698.0,3070.0,2520.0,1600.0,1464.0,866.0
Domingo,413.0,293.0,188.0,72.0,116.0,149.0,405.0,637.0,566.0,533.0,1283.0,1289.0,967.0,842.0,1214.0,1255.0,852.0,1324.0,1421.0,2070.0,2114.0,1114.0,768.0,592.0
