weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Lunes,100.0,112.0,14.0,81.0,29.0,87.0,452.0,1101.0,1472.0,653.0,433.0,305.0,297.0,397.0,494.0,698.0,544.0,666.0,884.0,579.0,557.0,410.0,374.0,191.0
Martes,20.0,15.0,13.0,,,41.0,283.0,1370.0,1289.0,788.0,639.0,534.0,334.0,253.0,647.0,725.0,547.0,510.0,654.0,722.0,519.0,288.0,292.0,168.0
Miércoles,26.0,4.0,26.0,70.0,7.0,41.0,420.0,951.0,1282.0,664.0,832.0,518.0,466.0,539.0,904.0,630.0,1003.0,741.0,1259.0,754.0,473.0,511.0,82.0,139.0
Jueves,48.0,121.0,29.0,,27.0,3.0,325.0,926.0,1330.0,853.0,486.0,447.0,534.0,384.0,386.0,635.0,607.0,694.0,760.0,1117.0,514.0,606.0,655.0,362.0
Viernes,230.0,283.0,224.0,139.0,202.0,95.0,456.0,886.0,1026.0,614.0,658.0,805.0,360.0,605.0,492.0,775.0,762.0,1276.0,842.0,742.0,910.0,577.0,401.0,201.0
Sábado,277.0,207.0,217.0,218.0,279.0,72.0,386.0,693.0,535.0,527.0,440.0,544.0,822.0,762.0,839.0,1392.0,887.0,833.0,749.0,1694.0,1611.0,1013.0,1019.0,530.0
Domingo,259.0,143.0,152.0,195.0,115.0,131.0,126.0,157.0,281.0,351.0,287.0,451.0,534.0,322.0,228.0,213.0,493.0,324.0,255.0,949.0,1242.0,1069.0,675.0,301.0
