weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Lunes,328,52,51,21,167,308,966,3925,5554,3642,2289,1595,1487,1571,1817,2130,2665,2553,2788,2784,1980,1436,754,597
Martes,133,83,6,106,128,423,1143,3329,3934,2909,2205,2286,1726,1792,1328,1982,2598,4227,4413,2654,2006,1465,1044,229
Miércoles,355,210,194,198,154,214,1130,3452,5176,2304,2263,2230,1767,1796,1603,2828,3383,3620,3888,3845,2432,1565,809,558
Jueves,493,223,103,23,149,258,1426,3967,6117,3310,2092,1552,2136,2269,2240,2445,2871,3697,4050,3124,2111,2056,1070,701
Viernes,442,186,101,185,103,412,1564,5509,6298,3981,2727,2314,2279,2210,2424,2569,3969,4907,5268,3223,2128,2131,1331,512
Sábado,1063,996,759,553,340,596,1292,2509,2414,2766,2413,2660,2370,2473,2629,2662,2629,3947,3864,5155,4427,2715,2118,1551
Domingo,1268,873,675,531,278,465,739,1075,1236,1407,1457,1820,1958,1882,1370,1537,2335,2209,2351,4006,3700,2868,2034,1099
